id,name
1,Ada Lovelace
2,Alan Turing
3,Grace Hopper
4,Charles Babbage
5,Tim Berners-Lee
6,Dennis Ritchie
7,Ken Thompson
8,John von Neumann
9,Steve Wozniak
10,Bill Gates
11,Steve Jobs
12,Linus Torvalds
